file_path,url,pillar,kind,article_section,title,published,modified,description
mergers-acquisitions/vendor-due-diligence/index.html,/mergers-acquisitions/vendor-due-diligence/,M&A,article,M&amp;A,What is Vendor Due Diligence? | AccountingTitan,2023-05-07T22:56:18-04:00,2023-05-07T22:56:48-04:00,"Vendor due diligence (VDD) is a type of due diligence that is conducted by a seller (the vendor) in preparation for a potential transaction, typically a"
finance/index.html,/finance/,Corporate Finance,article,,Finance | AccountingTitan,,,
finance/what-is-a-dual-listed-company/index.html,/finance/what-is-a-dual-listed-company/,Corporate Finance,article,Finance,What is a Dual-Listed Company? | AccountingTitan,2023-01-02T19:23:36-05:00,2023-01-02T19:25:38-05:00,A Dual-Listed Company (DLC) is a corporate structure where a single company is listed on multiple stock exchanges. This allows the company to have a presence
finance/capitalization-of-shareholder-loans-to-equity/index.html,/finance/capitalization-of-shareholder-loans-to-equity/,Corporate Finance,article,Finance,Capitalization of Shareholder Loans to Equity | AccountingTitan,2023-05-03T20:50:57-04:00,2023-05-03T21:01:02-04:00,"When a business is in need of capital, the founders or shareholders may choose to lend money to the company to help meet its financial obligations. However,"
finance/what-is-a-nominee-corporation/index.html,/finance/what-is-a-nominee-corporation/,Corporate Finance,article,Finance,What is a Nominee Corporation? | AccountingTitan,2022-06-05T00:16:02-04:00,2023-03-19T20:58:23-04:00,"A nominee corporation is a legal entity that holds and administers property (shares, real property, intangible property, or otherwise) as the registered legal"
finance/types-of-dividends/index.html,/finance/types-of-dividends/,Corporate Finance,article,Finance,Types of Dividends | AccountingTitan,2023-01-01T23:49:29-05:00,2023-01-01T23:49:33-05:00,Dividends are a way for companies to distribute a portion of their profits to their shareholders. There are several different types of dividends that
finance/capitalization-of-retained-earnings-to-paid-up-capital/index.html,/finance/capitalization-of-retained-earnings-to-paid-up-capital/,Corporate Finance,article,Finance,Capitalization of Retained Earnings to Paid-Up Capital | AccountingTitan,2023-02-05T21:32:28-05:00,2023-02-05T21:32:36-05:00,"Retained earnings are the portion of a company's profits that are kept by the company rather than distributed as dividends to shareholders. Over time, a"
financial-reporting/index.html,/financial-reporting/,Financial Reporting,article,,Financial Reporting | AccountingTitan,,,
financial-reporting/journal-entries-for-issuance-of-common-shares/index.html,/financial-reporting/journal-entries-for-issuance-of-common-shares/,Financial Reporting,article,Financial Reporting,Journal Entries for the Issuance of Common Shares | AccountingTitan,2022-05-28T22:50:40-04:00,2023-02-05T22:31:14-05:00,"Selling common shares to investors is a common method for companies to raise capital. This capital is used by the company to fund operations, invest in"
financial-reporting/accounting-for-the-sale-of-land/index.html,/financial-reporting/accounting-for-the-sale-of-land/,Financial Reporting,article,Financial Reporting,Accounting for the Sale of Land | AccountingTitan,2022-05-22T23:38:34-04:00,2023-01-02T18:43:20-05:00,"Land is a special type of asset that is treated differently from other types of fixed assets, such as buildings or equipment, in accounting. This is because"
financial-reporting/journal-entries-for-capital-dividends/index.html,/financial-reporting/journal-entries-for-capital-dividends/,Financial Reporting,article,Financial Reporting,Journal Entries for Capital Dividends | AccountingTitan,2022-06-26T16:11:59-04:00,2022-06-26T16:12:04-04:00,"Certain dividends, called capital dividends, may be paid tax-free by private corporations to their Canadian-resident shareholders. This means that no part of"
financial-reporting/page/2/index.html,/financial-reporting/page/2/,Financial Reporting,article,,Financial Reporting | AccountingTitan,,,
financial-reporting/accounting-for-share-based-compensation-ifrs/index.html,/financial-reporting/accounting-for-share-based-compensation-ifrs/,Financial Reporting,article,Financial Reporting,Accounting for Share-Based Compensation (IFRS 2) | AccountingTitan,2022-05-23T17:19:35-04:00,2022-06-13T23:12:36-04:00,Share-based compensation is accounted for under IFRS 2 Share-Based Payment.
financial-reporting/journal-entries-for-mortgage-payable/index.html,/financial-reporting/journal-entries-for-mortgage-payable/,Financial Reporting,article,Financial Reporting,Journal Entries for Mortgage Payable | AccountingTitan,2022-06-25T19:20:50-04:00,2023-01-01T23:39:14-05:00,A mortgage is a type of loan that is used to finance the purchase of real estate property. It is called a &quot;long-term&quot; loan because it is usually repaid over a
financial-reporting/income-tax-provision/index.html,/financial-reporting/income-tax-provision/,Financial Reporting,article,Financial Reporting,What is an Income Tax Provision? | AccountingTitan,2023-11-11T19:35:47-05:00,2025-04-22T20:44:17-04:00,"The provision for income taxes serves as a crucial element in financial reporting, representing the anticipated income tax liability that a business or"
financial-reporting/journal-entries-for-loan-forgiveness/index.html,/financial-reporting/journal-entries-for-loan-forgiveness/,Financial Reporting,article,Financial Reporting,Journal Entries for Loan Forgiveness | AccountingTitan,2022-07-03T23:07:08-04:00,2023-01-02T18:01:34-05:00,"Loan forgiveness is a situation in which a creditor, such as a bank or government entity, decides not to require repayment of a loan that has been issued to a"
financial-reporting/journal-entries-for-income-tax-expense/index.html,/financial-reporting/journal-entries-for-income-tax-expense/,Financial Reporting,article,Financial Reporting,Journal Entries for Income Tax Expense | AccountingTitan,2023-01-01T23:20:24-05:00,2023-04-02T21:31:37-04:00,Income tax expense is the amount of tax that a company owes on its taxable income for a given period. It is calculated by applying the applicable tax rate to
financial-reporting/journal-entries-for-withholding-tax/index.html,/financial-reporting/journal-entries-for-withholding-tax/,Financial Reporting,article,Financial Reporting,Journal Entries for Withholding Tax | AccountingTitan,2023-05-07T22:07:20-04:00,2025-04-22T20:43:22-04:00,"Withholding tax is a tax levied on income, such as wages, interest, or dividends, that is paid to a non-resident of the country where the income is earned."
financial-reporting/journal-entries-for-tariffs/index.html,/financial-reporting/journal-entries-for-tariffs/,Financial Reporting,article,Financial Reporting,Journal Entries for Tariffs | AccountingTitan,2025-01-12T22:05:30-05:00,2025-01-12T22:09:45-05:00,"Tariffs are taxes or duties imposed by a government on imported or exported goods. They are typically used to regulate trade, protect domestic industries, or"
financial-reporting/journal-entries-for-unearned-revenue/index.html,/financial-reporting/journal-entries-for-unearned-revenue/,Financial Reporting,article,Financial Reporting,Journal Entries for Unearned Revenue | AccountingTitan,2022-06-13T23:11:04-04:00,2023-01-02T18:52:59-05:00,Unearned revenue is a type of liability that is recorded on the balance sheet of a business. It represents an obligation to deliver goods or services in the
financial-reporting/journal-entries-for-deferred-tax-assets-and-liabilities/index.html,/financial-reporting/journal-entries-for-deferred-tax-assets-and-liabilities/,Financial Reporting,article,Financial Reporting,Journal Entries for Deferred Tax Assets and Liabilities | AccountingTitan,2023-11-11T20:17:40-05:00,2023-11-11T20:58:47-05:00,Deferred taxes refer to the postponement of income taxes to future periods due to differences in the recognition of income or expenses between financial
financial-reporting/journal-entries-for-owner-contributions/index.html,/financial-reporting/journal-entries-for-owner-contributions/,Financial Reporting,article,Financial Reporting,Journal Entries for Owner (Shareholder) Contributions to Business | AccountingTitan,2022-07-02T23:18:56-04:00,2023-02-11T12:13:39-05:00,"When a business is first starting out, its owners or co-founders may need to invest their own money in the company in order to fund its operations. This type"
financial-reporting/journal-entries-for-incorporation-costs/index.html,/financial-reporting/journal-entries-for-incorporation-costs/,Financial Reporting,article,Financial Reporting,Journal Entries for Incorporation Costs | AccountingTitan,2022-06-19T22:10:33-04:00,2023-01-02T18:39:10-05:00,"Incorporation costs refer to the fees and expenses that are incurred in the process of forming a new legal entity, such as a corporation or limited liability"
financial-reporting/journal-entries-for-loan-received/index.html,/financial-reporting/journal-entries-for-loan-received/,Financial Reporting,article,Financial Reporting,Loan Received Journal Entry (Bank Loan) + Monthly Payment Example | AccountingTitan,2022-07-03T21:48:13-04:00,2023-01-02T18:04:42-05:00,"Exact journal entries for receiving a loan, recording interest, and monthly payments (principal + interest). Includes examples for bank loans, fees, and early repayment."
financial-reporting/journal-entries-for-dividends-declaration-and-payment/index.html,/financial-reporting/journal-entries-for-dividends-declaration-and-payment/,Financial Reporting,article,Financial Reporting,Journal Entries for Dividends (Declaration and Payment) | AccountingTitan,2023-01-02T19:49:16-05:00,2023-01-02T20:24:39-05:00,"A dividend is a distribution of a portion of a company's earnings, decided by its board of directors, to a class of its shareholders. Dividends can be issued"
financial-reporting/journal-entries-for-directors-remuneration/index.html,/financial-reporting/journal-entries-for-directors-remuneration/,Financial Reporting,article,Financial Reporting,Journal Entries for Directors' Remuneration | AccountingTitan,2022-08-05T20:09:30-04:00,2023-01-02T18:34:37-05:00,Directors' Remuneration (also referred to as Directors' Compensation or Directors' Fees) refers to any and all amounts paid to directors of a company in
tag/income-statement/index.html,/tag/income-statement/,Tag,article,,Income Statement | AccountingTitan,,,
tag/income-statement/page/2/index.html,/tag/income-statement/page/2/,Tag,article,,Income Statement | AccountingTitan,,,
tag/loan/index.html,/tag/loan/,Tag,article,,Loan | AccountingTitan,,,
tag/income-tax/index.html,/tag/income-tax/,Tag,article,,Income Tax | AccountingTitan,,,
tag/journal-entries/index.html,/tag/journal-entries/,Tag,article,,Journal Entries | AccountingTitan,,,
tag/journal-entries/page/2/index.html,/tag/journal-entries/page/2/,Tag,article,,Journal Entries | AccountingTitan,,,
tag/liability/index.html,/tag/liability/,Tag,article,,Liability | AccountingTitan,,,
tag/director/index.html,/tag/director/,Tag,article,,Director | AccountingTitan,,,
tag/assurance/index.html,/tag/assurance/,Tag,article,,Assurance | AccountingTitan,,,
tag/fixed-assets/index.html,/tag/fixed-assets/,Tag,article,,Fixed Assets | AccountingTitan,,,
tag/financial-statements/index.html,/tag/financial-statements/,Tag,article,,Financial Statements | AccountingTitan,,,
tag/management/index.html,/tag/management/,Tag,article,,Management | AccountingTitan,,,
tag/withholding-tax/index.html,/tag/withholding-tax/,Tag,article,,Withholding Tax | AccountingTitan,,,
tag/compensation/index.html,/tag/compensation/,Tag,article,,Compensation | AccountingTitan,,,
tag/share-based-compensation/index.html,/tag/share-based-compensation/,Tag,article,,Share-Based Compensation | AccountingTitan,,,
tag/ifrs/index.html,/tag/ifrs/,Tag,article,,IFRS | AccountingTitan,,,
tag/equity/index.html,/tag/equity/,Tag,article,,Equity | AccountingTitan,,,
tag/trust/index.html,/tag/trust/,Tag,article,,Trust | AccountingTitan,,,
tag/corporation/index.html,/tag/corporation/,Tag,article,,Corporation | AccountingTitan,,,
tag/common-shares/index.html,/tag/common-shares/,Tag,article,,Common Shares | AccountingTitan,,,
tag/dividends/index.html,/tag/dividends/,Tag,article,,Dividends | AccountingTitan,,,
tag/stock/index.html,/tag/stock/,Tag,article,,Stock | AccountingTitan,,,
tag/revenue/index.html,/tag/revenue/,Tag,article,,Revenue | AccountingTitan,,,
tag/mortgage/index.html,/tag/mortgage/,Tag,article,,Mortgage | AccountingTitan,,,
tag/gaap/index.html,/tag/gaap/,Tag,article,,GAAP | AccountingTitan,,,
tag/gaap/page/2/index.html,/tag/gaap/page/2/,Tag,article,,GAAP | AccountingTitan,,,
tag/balance-sheet/index.html,/tag/balance-sheet/,Tag,article,,Balance Sheet | AccountingTitan,,,
tag/balance-sheet/page/2/index.html,/tag/balance-sheet/page/2/,Tag,article,,Balance Sheet | AccountingTitan,,,
tag/canada/index.html,/tag/canada/,Tag,article,,Canada | AccountingTitan,,,
